Id,Categoria de Informação,Classe maior,Sub-classe maior,Classe menor,Nomenclatura Greencloud,Nomenclatura PEDEA,INDE,Fonte,Coluna atributo,Módulos de gráficos,Chave Rótulo,Link Drive (SHP),Link Drive (KML)
1,Biodiversidade,Áreas protegidas,,,0604_CE_poligonal_uc_estaduais_2023_pol,UC Estaduais (CEUC/SEMA_2023),,CEUC/SEMA,tipounidad,Sim,,,
2,Biodiversidade,Áreas protegidas,,,0604_CE_poligonal_uc_federais_2023_pol,UC Federais (CNUC/ICMBio_2023),,CNUC/ICMBio,tipounidad,Sim,,,
3,Biodiversidade,Áreas protegidas,,,0604_CE_poligonal_uc_municipais_2023_pol,UC Municipais (CEUC/SEMA_2023),,CEUC/SEMA,tipounidad,Sim,,,
4,Biodiversidade,Áreas protegidas,,,0604_CE_rppn_2023_pol,RPPN (CEUC/SEMA_2023),,CEUC/SEMA,grupo,Sim,,,
5,Biodiversidade,Áreas protegidas,,,0604_CE_cor_ecologico_pacoti_2000_pol,Corredor Ecológico do Rio Pacoti (SEMA_2000),"
Faltando",SEMA,faixa,,,,
6,Biodiversidade,Áreas prioritárias,,,0605_CE_area_prio_caatinga_2005_pol,Áreas Prioritária da Caatinga (MMA_2005),,MMA,import_bio,,,,
7,Biodiversidade,Áreas prioritárias,,,0605_CE_area_hibrida_caatinga_2005_pol,Áreas Híbrida da Caatinga (MMA_2005),,MMA,impor_bio,,,,
8,Biodiversidade,Infraestrutura e serviços de suporte a UC,,,0601_CE_pontos_turisticos_visitacao_uc_2022_pto,Pontos de Visitação (SEMA_2022),Sim,SEMA,nome_uc,,,https://drive.google.com/drive/folders/1RceqDPfSed9ECjP6I3mOKRRpDZAaJlGK?usp=share_link,https://drive.google.com/drive/folders/17FNwRi-MSrrd-5C5ex5xCSzDJONzd-Ve?usp=share_link
9,Biodiversidade,Infraestrutura e serviços de suporte a UC,,,0601_CE_sede_uc_2022_pto,Sede das UC (SEMA_2022),Sim,SEMA,nome_uc,,,https://drive.google.com/drive/folders/1cvW3-BDY-7ATM9aL-oT6-de3AnTExhHA?usp=share_link,https://drive.google.com/drive/folders/1JmJGZs1eXe2axA131xlXOsHhGNHNhhk6?usp=share_link
10,Biodiversidade,Infraestrutura e serviços de suporte a UC,,,0601_CE_lei_mata_atlantica_2006_pol,Lei da Mata Atlântica (MMA_2006),,MMA,cobe_veget,,,,
